user_input,reference_contexts,reference
Quais são as limitações do uso de LLM na recuperação de informações específicas em documentos?,"['2018] para implementar esses classificadores e compara o desempenho de cada um utilizando \ncomo benchmark o algoritmo Naïve Bayes.  \nUm classificador pode auxiliar o processo de seleção de documentos relevantes ao \nautomatizar a triagem que seria feita por um humano. No entanto, uma limitação dessa \nabordagem é que ela não permite buscar informações específicas dentro dos documentos. \nEsse artigo descreve a proposta de aplicação de técnicas de Recuperação Aumentada \n(RAG) e Engenharia de Prompt na construção de um sistema de Perguntas e Respostas (Q&A) \nsuportado por um Modelo de Linguagem de Grande Escala (LLM) no contexto de recuperação']",Uma limitação dessa abordagem é que ela não permite buscar informações específicas dentro dos documentos.
Qual é o papel do RAG na avaliação de relatórios anuais?,"['16 \n \n \n \nde informações de Relatórios Anuais de empresas realizado por analistas do BNDES. O objetivo \né construir uma ferramenta de perguntas e respostas que facilite a busca de informações \nrelevantes nos diversos documentos utilizados durante o processo de avaliaç ão \nsocioambiental.  \nSerá avaliada se a relevância das respostas é melhorada pelo RAG, utilizando EM e F1-\nscore, além do Benchmark para Recuperação Aumentada (RGB) [Chen et al. 2024] para a \navaliação da qualidade da recuperação e geração executados. Os resultados serão \ncomparados com a eficiência dos classificadores ASG implementados em diferentes tipos de \nBERT por [Ruberg et al. 2021]. \nA metodologia utilizará duas técnicas: i)  Geração com Recuperação Aumentada \n(RAG); e ii) Engenharia de Prompt. Essas técnicas visam melhorar a qualidade das respostas \ndo modelo de linguagem de grande escala. O LLM utilizado será o GPT-4. \nEspera-se que esse sistema conversacional traga benefícios ao BNDES ao demonstrar']","O RAG será avaliado para determinar se a relevância das respostas é melhorada, utilizando EM e F1-score, além do Benchmark para Recuperação Aumentada (RGB) para a avaliação da qualidade da recuperação e geração executados."
Como a utilização de NLP pode beneficiar o BNDES na avaliação socioambiental de empresas?,"['do modelo de linguagem de grande escala. O LLM utilizado será o GPT-4. \nEspera-se que esse sistema conversacional traga benefícios ao BNDES ao demonstrar \nde forma concreta a possibilidade de utilização das capacidades promissoras de \ncontextualização e geração de texto coeso dos LLMs em um domínio específico e \nestrategicamente importante para o banco - a avaliação socioambiental de empresas. \nObjetiva-se também, com a utilização do RAG e técnicas de Engenharia de Prompt, aumentar \na qualidade das respostas e permitir uma maior contextualização das informações obtidas, \ncontribuindo não apenas para a instituição, mas também para a área de NLP, ao realizar a \naplicação e avaliação de técnicas atuais a um domínio específico ainda pouco explorado. \nO restante do artigo está estruturado da seguinte forma: a seção 2 apresenta o \nreferencial teórico, bem como trabalhos relacionados e a seção 3 traz as considerações finais \ne os próximos passos.']","A utilização de NLP, através do modelo de linguagem GPT-4, pode trazer benefícios ao BNDES ao demonstrar a possibilidade de utilizar as capacidades promissoras de contextualização e geração de texto coeso em um domínio específico e estrategicamente importante, como a avaliação socioambiental de empresas. Além disso, espera-se que técnicas como RAG e Engenharia de Prompt aumentem a qualidade das respostas e permitam uma maior contextualização das informações obtidas, contribuindo para a instituição e para a área de NLP."
Como LLMs mudaram o campo de NLP?,"['17 \n \n \n \n2 Referencial Teórico \n2.1 Modelos de Linguagem de Grande Escala (LLMs) \nDesde seu surgimento, os Modelos de Linguagem de Grande Escala (LLMs) têm \ntransformado significativamente o campo do processamento de linguagem natural (NLP), \ndemonstrando habilidades notáveis na compreensão e geração de texto que se assemelha ao \nproduzido por humanos. Esses modelos adotam arquiteturas baseadas em redes neurais, \ncomo os Transformers, que permitem uma ponderação dinâmica da influência de diferentes \npartes dos textos de entrada em momentos específicos [Vaswani et al. 2017]. \nOs avanços promovidos pelos LLMs permitiram que aplicações de conversação como \nchatbots se tornassem muito mais expressivas, ao focar na geração de textos coesos e \ncontextualizados. Esse resultado é alcançado por meio de extensivo treinamento com grandes \nvolumes de dados de conversação, o que permite que os modelos capturem nuances \nintrínsecas ao diálogo [OpenAI 2023a].']","Os Modelos de Linguagem de Grande Escala (LLMs) transformaram significativamente o campo do processamento de linguagem natural (NLP), demonstrando habilidades notáveis na compreensão e geração de texto que se assemelha ao produzido por humanos. Eles utilizam arquiteturas baseadas em redes neurais, como os Transformers, permitindo uma ponderação dinâmica da influência de diferentes partes dos textos de entrada em momentos específicos."
Quais são as inovações trazidas pelos LLMs segundo o documento de 2023a?,"['volumes de dados de conversação, o que permite que os modelos capturem nuances \nintrínsecas ao diálogo [OpenAI 2023a]. \nAtravés da paralelização e dos mecanismos de atenção, os LLMs estabeleceram um \nparadigma inovador no processamento de linguagem natural. Ao expandir o espaço de busca \natravés de dados externos e ajustes finos, esses modelos têm se estabelecido como \nplataformas para o desenvolvimento de aplicativos especializados, enriquecidos com \nconhecimento. Esses aplicativos podem simular as interações entre humanos e \ncomputadores, ao facilitar a busca por informações relevantes e auxiliar ao usuário \nestabelecer conexões entre diferentes fontes que embasam processos decisórios. \n2.2 Recuperação e Geração Aumentada (RAG) \nDe acordo com [Chen et al. 2024], os Modelos de Linguagem de Grande Escala (LLMs) \npossuem limitações importantes, apresentando problemas como alucinação factual, \nconhecimento desatualizado e falta de especialização em domínios específicos. De forma']","Os LLMs estabeleceram um paradigma inovador no processamento de linguagem natural através da paralelização e dos mecanismos de atenção, permitindo a captura de nuances intrínsecas ao diálogo e expandindo o espaço de busca através de dados externos e ajustes finos."
O que RAG faz para melhorar LLMs?,"['possuem limitações importantes, apresentando problemas como alucinação factual, \nconhecimento desatualizado e falta de especialização em domínios específicos. De forma \ntentar superar esses desafios, o RAG propõe uma mudança na forma como os LLMs são \nutilizados para processar e gerar texto, ao recuperar partes de documentos relevantes de uma \nbase externa que sejam semanticamente semelhantes à consulta de entrada, aumentando -a \n[Gao et al. 2023].']","O RAG propõe uma mudança na forma como os LLMs são utilizados, recuperando partes de documentos relevantes de uma base externa que sejam semanticamente semelhantes à consulta de entrada, o que ajuda a superar limitações como alucinação factual e conhecimento desatualizado."
Quais são as vantagens exploradas por Gao et al. 2023 em relação ao LLM?,"['18 \n \n \n \nOs frameworks descritos por [Gao et al. 2023] e [Feng et al. 2024] exploram as \nvantagens dessa técnica ao enriquecer o LLM com dados adicionais sem a necessidade de \nretreinamento do modelo [Li et al. 2022]. Ao segmentar os textos específicos do domínio em \nquestão em pedaços (embeddings) gerenciáveis e armazenar esses segmentos em bancos de \ndados vetoriais de alta dimensão, torna -se possível realizar a rápida recuperação de \ninformações contextualmente relevantes em resposta a uma consulta, o que facilita as etapas \nsubsequentes de processamento e geração de texto que será realizada pelo LLM.  \nOs embeddings são recuperados com base em similaridade vetorial usando métricas \ncomo distância de Manhattan, Euclidiana ou cosseno. Então a consulta é transformada em um \nvetor de embedding no mesmo espaço vetorial, possibilitando a comparação direta com os \nembeddings dos trechos armazenados para recuperar os mais similares. Esses trechos são']","Os frameworks descritos por Gao et al. 2023 exploram as vantagens de enriquecer o LLM com dados adicionais sem a necessidade de retreinamento do modelo, permitindo a rápida recuperação de informações contextualmente relevantes em resposta a uma consulta."
Qual é o papel da OpenAI na engenharia de prompt?,"['vetor de embedding no mesmo espaço vetorial, possibilitando a comparação direta com os \nembeddings dos trechos armazenados para recuperar os mais similares. Esses trechos são \nintegrados ao contexto do LLM para formular um prompt, que consiste na pergunta, nos \ntrechos recuperados do banco de dados de vetores, nas instruções específicas e, \nopcionalmente, no histórico do chat, enviados ao LLM para gerar a resposta final. \n2.3 Engenharia de Prompt \nA engenharia de prompt visa otimizar as entradas enviadas aos LLMs de forma a \nauxiliar na geração de saídas de maior qualidade. Sua finalidade é melhorar o potencial dos \nLLMs, ao fornecer a eles instruções adicionais e contexto [OpenAI 2023b].  \nAtravés das instruções, é possível detalhar o roteiro para uma resposta, ao especificar \no estilo e formato na geração realizada pelo LLM [White et al. 2023] [Giray 2023]. O estilo \npoderia ser, por exemplo, algo como “Responda como um cientista da área de I nteligência \nArtificial”.']","A OpenAI tem um papel importante na engenharia de prompt, que visa otimizar as entradas enviadas aos LLMs para auxiliar na geração de saídas de maior qualidade. Isso é feito ao fornecer instruções adicionais e contexto, melhorando o potencial dos LLMs."
Qual é a importância da Engenharia de Prompt no contexto da recuperação de documentos relevantes utilizando RAG?,"['<1-hop>\n\n19 \n \n \n \nimportância do uso de Engenharia de Prompt com RAG para melhorar a recuperação de \ndocumentos relevantes, que são então usados para gerar respostas tanto contextualmente \nrelevantes quanto ricas em informações.', '<2-hop>\n\nLista de Símbolos \n<símbolo 1> <significado> \n<símbolo 2> <significado> \n<símbolo 3> <significado> \n<símbolo 4> <significado> \n<símbolo 5> <significado> \nSumário \n1 Introdução ................................................................................................................... 15 \n2 Referencial Teórico ...................................................................................................... 17 \n2.1 Modelos de Linguagem de Grande Escala (LLMs) ......................................................... 17 \n2.2 Recuperação e Geração Aumentada (RAG) .................................................................. 17 \n2.3 Engenharia de Prompt .................................................................................................. 18 \n3 Metodologia ................................................................................................................ 20']","A importância da Engenharia de Prompt com RAG reside em sua capacidade de melhorar a recuperação de documentos relevantes, que são utilizados para gerar respostas que são tanto contextualmente relevantes quanto ricas em informações."
Como o F1-score é utilizado na avaliação da qualidade da recuperação e geração em relatórios de sustentabilidade?,"['<1-hop>\n\nPara avaliar os resultados obtidos, será verificado se a relevância das respostas é \nmelhorada pelo RAG, utilizando EM e F1 -score, além do Benchmark de Geração Aumentada \npor Recuperação (RGB) [5] para a avaliação da qualidade da recuperação e geração realizadas. \nOs resultados serão comparados com a eficiência dos classificadores ASG implementados em \ndiferentes variações do BERT por [3]. \n3.1 Aplicação do RAG \nA primeira técnica a ser aplicada será o RAG, e uma decisão importante a ser tomada \né escolher a melhor estratégia para segmentar o documento, ou seja, como realizar o \nchunking dos relatórios de sustentabilidade. Uma estratégia comum de chunking envolve \nsegmentar documentos com base em um número específico de tokens e uma sobreposição. \nIsso é útil ao lidar com textos sequenciais onde é importante manter a continuidade do \ncontexto entre os chunks.  \nOs relatórios de sustentabilidade têm uma estrutura textual padronizada e modular,', '<2-hop>\n\nthe relevance of the answers is improved by RAG, us ing EM and F1 -score, in addition to the \nRGB benchmark for assessing the quality of retrieval and generation performed. The results \nwill be compared with the efficiency of an ESG classifier implemented in distinct types of BERT. \n \nKeywords: Question-and-answer (Q&A), Retrieval -Augmented Generation (RAG), Large \nLanguage Model (LLM), Brazilian Development Bank (BNDES), Sustainability Reports (ESG).']","O F1-score é utilizado na avaliação da qualidade da recuperação e geração em relatórios de sustentabilidade ao verificar se a relevância das respostas é melhorada pelo RAG, utilizando EM e F1-score, além do Benchmark de Geração Aumentada por Recuperação (RGB). Os resultados obtidos serão comparados com a eficiência dos classificadores ESG implementados em diferentes variações do BERT."
